50
1	12:03:33	34-SR-52
2	12:03:37	PW-CF-45
2	12:03:46	34-SR-52
2	12:03:50	MF-TF-24
1	12:03:55	TL-WV-33
1	12:04:01	34-DF-HT
1	12:04:08	BN-08-SP
1	12:04:12	12-TG-LK
2	12:04:13	TL-WV-33
2	12:04:23	12-TG-LK
2	12:04:25	BN-08-SP
1	12:04:27	DT-20-SQ
2	12:04:30	34-DF-HT
1	12:04:35	RG-52-68
2	12:04:39	DT-20-SQ
1	12:04:44	92-FB-56
1	12:04:47	PL-VF-52
2	12:04:56	RG-52-68
2	12:05:00	92-FB-56
1	12:05:02	46-25-FG
2	12:05:12	PL-VF-52
2	12:05:16	46-25-FG
1	12:05:23	FD-07-KS
1	12:05:27	MG-YW-24
1	12:05:29	34-YH-92
1	12:05:33	09-VS-JZ
2	12:05:40	FD-07-KS
1	12:05:41	TG-UH-12
2	12:05:43	34-YH-92
2	12:05:45	MG-YW-24
1	12:05:47	DW-DD-34
2	12:05:50	09-VS-JZ
2	12:06:00	TG-UH-12
2	12:06:01	DW-DD-34
1	12:06:04	95-LI-NK
1	12:06:06	46-FV-35
1	12:06:09	PL-ZS-46
1	12:06:14	FG-34-76
2	12:06:19	46-FV-35
1	12:06:20	FG-22-JT
2	12:06:23	95-LI-NK
2	12:06:25	PL-ZS-46
1	12:06:28	66-NB-12
2	12:06:30	FG-22-JT
2	12:06:33	FG-34-76
1	12:06:33	74-BG-51
1	12:06:35	37-35-FT
2	12:06:39	66-NB-12
1	12:06:44	GB-WY-34
1	12:06:46	CV-36-GH
2	12:06:51	74-BG-51
2	12:06:52	37-35-FT
2	12:06:58	GB-WY-34
1	12:06:59	46-TZ-35
2	12:07:03	CV-36-GH
1	12:07:07	63-15-YM
1	12:07:09	MK-45-24
1	12:07:11	KN-35-XF
2	12:07:18	46-TZ-35
1	12:07:13	PL-84-24
2	12:07:19	63-15-YM
1	12:07:23	19-HG-82
2	12:07:26	MK-45-24
2	12:07:27	PL-84-24
1	12:07:28	ND-26-HP
1	12:07:29	RF-74-KJ
2	12:07:30	KN-35-XF
2	12:07:40	19-HG-82
1	12:07:43	XR-BV-32
2	12:07:47	ND-26-HP
2	12:07:49	RF-74-KJ
1	12:07:52	FR-37-83
1	12:07:56	MN-FJ-35
2	12:07:58	XR-BV-32
1	12:08:00	HN-SW-50
2	12:08:08	FR-37-83
1	12:08:10	77-CC-TT
2	12:08:13	MN-FJ-35
2	12:08:14	HN-SW-50
1	12:08:15	KL-WR-44
1	12:08:18	GQ-XC-69
1	12:08:19	91-VT-CR
2	12:08:23	77-CC-TT
2	12:08:27	KL-WR-44
1	12:08:29	FB-SK-42
2	12:08:30	GQ-XC-69
2	12:08:36	91-VT-CR
1	12:08:39	KM-23-17
1	12:08:42	WT-31-DC
1	12:08:43	MT-ZH-35
2	12:08:45	FB-SK-42
1	12:08:47	82-NL-13
1	12:08:54	MJ-HF-63
2	12:08:57	KM-23-17
2	12:08:58	MT-ZH-35
1	12:08:58	PT-92-74
2	12:08:59	WT-31-DC
2	12:09:03	82-NL-13
1	12:09:08	09-QC-GN
2	12:09:10	MJ-HF-63
1	12:09:16	MN-89-SL
2	12:09:17	PT-92-74
2	12:09:20	09-QC-GN
1	12:09:20	AN-WB-52
1	12:09:23	JM-85-PQ
1	12:09:24	61-36-DT
1	12:09:30	02-JW-44
2	12:09:33	MN-89-SL
1	12:09:34	QW-21-KX
2	12:09:36	JM-85-PQ
2	12:09:40	61-36-DT
1	12:09:42	YC-00-WT
1	12:09:44	NF-49-RT
2	12:09:47	02-JW-44
1	12:09:50	PL-83-SV
1	12:09:53	PF-EC-20
2	12:09:55	QW-21-KX
2	12:09:58	YC-00-WT
